body,Act1A1_amend,Act1A1_commit,Act1A1_deliver,Act1A1_greet,Act1A1_propose,Act1A1_refuse,Act1A1_remind,Act1A1_request,ReasA1_administrative procedure,ReasA1_employment arrangements,ReasA1_external collaboration,ReasA1_internal collaboration,ReasA1_legal procedure,ReasA1_logistic arrangements,ReasA1_other,ReasA1_personal,ReasA1_travel planning,REA1_accountable non-answer,REA1_ignore,REA1_immediate reply,REA1_postponed reply,NumTA1_0,NumTA1_1,NumTA1_2,NumTA1_3
It was cute!	Genia FitzGerald	10/10/2000 03:23 PM		 		 To: Marie Heard/Enron Communications@Enron Communications		 cc: Tana Jones/HOU/ECT@ECT		 Subject: Re: HOTDOG !This is sooo adorable!Thanks for inviting me to share Mexican food with you.  Tana said it was YOUR fault I wasn t invited!!!!!Genia----- Forwarded by Genia FitzGerald/HOU/ECT on 10/10/2000 03:21 PM -----		----- Forwarded by Genia FitzGerald/HOU/ECT on 10/10/2000 02:30 PM ----- - Hotdog PHOTO2.jpg,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
"Frankly, I don t remember it. Ask Linda.	Andrew Edison@ENRON	02/28/2001 07:31 AM		 		 To: Richard B Sanders/HOU/ECT@ECT		 cc: 		 Subject: HEOFScarlett Collings called me to inquire about the staus of an Ernst & Young invoice that she forwarded to you back on 1/11/01.  It hasn t been paid.  Is this something I should follow up with Linda?",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
"It s really all Genia s fault, she goes to lunch too darn early.  I guess we need to make a date beforehand for lunch with you...!	Marie Heard@ENRON COMMUNICATIONS	10/10/2000 04:04 PM				 To: Genia FitzGerald/HOU/ECT@ECT@ENRON		 cc: Tana Jones/HOU/ECT@ECT@ENRON		 Subject: Re: HOTDOG !This is sooo adorable!Hey, I was an invited guest.  It wasn t my party!  Sounds like someone is trying to weasel herself out of trouble.Marie HeardSenior Legal SpecialistEnron Broadband ServicesPhone:  (713) 853-3907Fax:  (713) 646-8537Marie_Heard@Enron.net	Genia FitzGerald@ECT	10/10/00 03:23 PM		 		 To: Marie Heard/Enron Communications@Enron Communications		 cc: Tana Jones/HOU/ECT@ECT		 Subject: Re: HOTDOG !This is sooo adorable!Thanks for inviting me to share Mexican food with you.  Tana said it was YOUR fault I wasn t invited!!!!!Genia----- Forwarded by Genia FitzGerald/HOU/ECT on 10/10/2000 03:21 PM -----		----- Forwarded by Genia FitzGerald/HOU/ECT on 10/10/2000 02:30 PM ----- - Hotdog PHOTO2.jpg",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
"JustinI ve been running around trying to determine whether we have a tax problems with Amita doing what she s doing for the above companies, and I m hearing that you ve already cleared that with tax.  Can you please confirm this for me.	Justin Boyd	10/11/2000 09:49 AM		 		 To: Tana Jones/HOU/ECT@ECT		 cc: 		 Subject: Re: EnronOnline LLC and Enron North America Corp...what a star you are!!justin---------------------- Forwarded by Justin Boyd/LON/ECT on 11/10/2000 15:52 ---------------------------From: Tana Jones on 11/10/2000 09:38 CDTTo: Cindy Buckley/LON/ECT@ECTcc: Justin Boyd/LON/ECT@ECT Subject: Re: EnronOnline LLC and Enron North America Corp.  These could take a few days (or more!).  They have to be circulated to the directors of the Company for signature and timing will depend on their availability for signature.  If Amita wants to start signing today, she can go ahead and start signing now and I ll make her appointment effective as of today.	Cindy Buckley	10/11/2000 09:22 AM				 To: Tana Jones/HOU/ECT@ECT		 cc: 		 Subject: Re: EnronOnline LLC and Enron North America Corp.Hi TanaThanks for quick response.I m happy for the unanimous consents of the directors and the attorneys-in-fact.  Please could you let me know when these have been signed and are effective.Thanks for your help.Regards",False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
"Paul, I hope you feel better. I have seen the message from Christian in which he confirmedthat he approached the Research in Houston on his own. He did notreceive any encouragement from me and from Mike. I hope this closes this issue. I can understand Christian s motivation but don t endorse the way he takes to reach his goals.He hopes to accomplish more in a larger group where he can have more interaction with his peerswho have similar backgrounds. I think also that he developed an appreciation for good interpersonal relations in my group he could observe during his stay in Houston. My advice is to try to figure out how to use his skills for Enron and how to develop his socialintelligence.  Vince -----Original Message-----From: Quilkey, Paul Sent: Thursday, July 19, 2001 6:33 PMTo: Kaminski, Vince JSubject: RE: ChristianVince Thank you for the clarification -  this is not the case presented to me by Christian and he has been obtuse to the point of deception with regard to this matter.This lead to my conclusion that Houston was poaching and hence my blunt email to you - I apologise.I am still sick but will call you next week to discuss the correct way of moving forward. Rgds Paul[Quilkey, Paul]     -----Original Message-----From: Kaminski, Vince J Sent: 19 July 2001 23:16To: Quilkey, PaulCc: Roberts, Mike A.Subject: RE: ChristianPaul, I am glad you sent me this message. It will help to clarify a few issues. 1. I was contacted by Christian (this means I did not start this phase of the process)    last Friday, as far as I can remember.     Christian expressed interest in joining the Research Group. I told him two things:       a. We would be delighted to have him here.       b. Our mutual relationship and good practices require that he receives           your blessing before we can move ahead.    We agreed to have a conference call Wed morning, your time, with you, Christian and    Mike Roberts.   2. Wednesday call was subsequently cancelled by Christian. Mike and I decided to call you      anyway Thu morning your time, directly, to discuss the matter. I was in a PRC all afternoon and       asked Mike to call you  in case I could not sneak out to join him. Mike called and was      told you were out sick.  3. I am leaving in a few hours for California. I shall be driving back to Houston for the next     3 days. Please, feel free to call Mike an discuss this matter with  him in my absence.  4. I think Christian has a strong preference to be in the Research Group, assuming he moves to     Houston. I think he came to this conclusion after visiting Houston in early July. I did not      bring up the issue of transfer with him at all when he was here.      I can  understand his motivation and think we should take his preferences into account. But the     first  issue is if he can leave Sydney at all. I hope it helps. Cheers.  Vince       -----Original Message-----From: Quilkey, Paul Sent: Thursday, July 19, 2001 4:08 AMTo: Kaminski, Vince JSubject: ChristianVince I have spoken to Christian and explained to him that he is critical to our local operations and should provide 100% focus on his role here.  As a small office it would be devestating for us should Christian be lured away.  I would appreciate you calling me rather than working through Christian on this matter.   Rgds Paul",False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
"Are you the right person to handle these details?  If not, please try to find out who it is and then let me know so I can communicate with Martin.---------------------- Forwarded by Mark - ECT Legal Taylor/HOU/ECT on 12/03/98 03:20 PM ---------------------------Martin Rosell12/03/98 02:49 AMTo: Mark - ECT Legal Taylor/HOU/ECT@ECTcc:  Subject: AbsenceMark,Following the message below, please be informed that I plan to come over to Houston 15 January next year and stay for 6-7 weeks (at Murphy s Montecito apartments).  Maybe we could change a few words on this before Christmas.  Also, do you know to whom I may turn in order to settle the practicalities (invitation letter to show immigration authorities, insurance, car, etc.)?!Martin ---------------------- Forwarded by Martin Rosell/OSL/ECT on 03/12/98 08:38 ---------------------------Scott Sefton27/11/98 17:41To: Martin Rosell/OSL/ECT@ECTcc:  Subject: AbsenceWe ought to investigate the possibility of having a Wikborg lawyer over every afternoon, with the understanding that the Wikborg lawyer would also be available to work on our stuff in the morning. This is our chance to develop a relationship with a new Wikborg lawyer who could replace Jarle Erik. Please confirm the dates that you will be gone. I assume that you will be back in Oslo by March 1. Please co-ordinate your Houston visit with Mark Taylor. Thanks!",False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
"I have not heard from them yet, but I will return their calls promptly.  Adam, do you know anything about any of these folks?  Mark -----Original Message-----From: 	Umanoff, Adam  Sent:	Tuesday, November 27, 2001 6:47 PMTo:	Metts, Mark; Walia, AmitCc:	Horton, StanleySubject:	EWC - Expressions of InterestMark - Here is a list of folks who have called yesterday and today.  I have given everyone your name and phone number and asked that they call you (their phone numbers are included fyi):	1.  Bill Wangering - Bank One 313-225-1749 (referred by Brett  Maxwell at First Analysis)	2.  Larry Miller - The Wind Turbine Company 425-637-1470	3,  Ari Schuler (sp) - Yucaipa Corp 310-228-2895.Adam",False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
"Hopefully you know what this is about-----Original Message-----From: Frevert, Mark Sent: Thursday, November 08, 2001 9:08 AMTo: Horton, StanleySubject: FW: URGENT NEED FOR A CONTACTStan, could you please have someone respond to this . Thanks . Mark-----Original Message-----From: A.S. Nyirenda [mailto:asnyirenda@zesco.co.zm]Sent: 08 November 2001 06:50To: Frevert, Mark; mmetts@enron.com; Baxter, Cliff AEP HPL USER; Skilling, Jeff; Lay, KennethCc: Santana, Vedruna JSubject: URGENT NEED FOR A CONTACTDear Sirs,We are an electricity utulity in Zambia which is undertaking a World Bank funded Power Rehabilitation Project. We have been trying for some days to make Email,telephone and fax contact with someone in Enron dealing with such issues without success. This we have been trying in conjunction with your Embassy office here. As can be seen from the message below we require a feedback from the relevant person or any one of you TODAY! Please reply to us as a matter of urgency.RegardsAaron S Nyirenda----- Original Message ----- From: A.S. Nyirenda <mailto:asnyirenda@zesco.co.zm> To: Cuthbert E. Roberts <mailto:crobert2@ei.enron.com> Cc: Kennedy Mbewe <mailto:kmbewe@zesco.co.zm> ; POWER REHABILITATION PROJECT <mailto:prpzesco@zamnet.zm> Sent: Monday, October 29, 2001 4:31 PMSubject: TD 98 TRANSFORMER CONTRACT FOR KAFUE GORGE POWER STATIONDear Mr C.Robberts Zambia Power Rehabilitation Project: During the shortlisting for Contract CD 94-95 your company, Enron International, was one of those shortlisted for the contract. Later the component of transformers was removed and packaged separately as TD 98. We are about to send out Invitations to Tender for TD 98 to all the previously shortlisted companies.As a matter of urgency, please confirm to us the contact Email address, Telephone, Fax, Postal and physical addresses. Reply to both  Emails shown below.RegardsAaron S. Nyirenda : Project Manager- Generation Zesco PRP,  P O Box 33304, Lusaka, ZambiaTelephone +260 1 239343/ 237597  Fax +260 1 239343/ 237597/223970Email: asnyirenda@zesco.co.zm <mailto:asnyirenda@zesco.co.zm> or  prpzesco@zamnet.zm <mailto:prpzesco@zamnet.zm>",False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
http://www.acmc.uq.edu.au/~gwd/EnergyExchange.html,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
"FYI. Certain aspects of this presentation will relate to PPA s/tolling agreements/interconnection studies and agreements  relating to Enron developed generation assets from which we intend to purchase power, etc.  The cost/benefit would probably be marginal for you, but I will be there, and will get you any interesting handouts.Kay---------------------- Forwarded by Kay Mann/Corp/Enron on 05/08/2001 11:36 AM ---------------------------From: Roseann Engeldorf/ENRON@enronXgate on 05/02/2001 02:20 PMTo: Sheila Tweed/HOU/ECT@ECT, Kay Mann/Corp/Enron@Enron, Barbara N Gray/HOU/ECT@ECT, Dale Rasmussen/HOU/ECT@ECT, Karen E Jones/ENRON@enronXgate, Ed B Hearn III/HOU/ECT@ECT, Matt Maxwell/Corp/Enron@ENRON, Lance Schuler-Legal/HOU/ECT@ECT, Barton Clark/HOU/ECT@ECT, Kathleen Carnahan/NA/Enron@Enron, Jeffrey T Hodge/HOU/ECT@ECT, John Schwartzenburg/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Ann Elizabeth White/HOU/ECT@ECT, Scott Dieball/ENRON_DEVELOPMENT@ENRON_DEVELOPMENt, Carlos Sole/NA/Enron@Enron, Randy Pais/Corp/Enron@Enron, Jordan Mintz/ENRON@enronXgate, Nora Dobin/Corp/Enron@ENRON, Brian D Barto/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Larry Bishop/NA/Enron@Enron, Cheryl Costa/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Jim Desrochers/NA/Enron@Enron, Richard Murphy/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, John G Rigby/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Robert Sevitz/NA/Enron@Enron, Keegan Farrell/NA/Enron@Enron, Joel Ephross/ENRON@enronXgate, Gareth Bahlmann/ENRON@enronXgate, Julia H Chin/ENRON@enronXgate, Brenda L Funk/ENRON@enronXgatecc: Herman Manis/ENRON@enronXgate, William Fleenor/ENRON@enronXgate, Dina Snow/Corp/Enron@Enron, Lisa Bills/ENRON@enronXgate, Shirley Oliver/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT Subject: Asset Financing - Structured Finance PresentationWe are planning a presentation on certain structure and contracting issues related to power plant asset financing on Thursday, May 10th.  The presentation will include lunch from Treebeard s and will begin at 11:30.  We have scheduled 2.5 hours for the presentation; it may be shorter, depending on the number of questions. We plan to include the Portland folks by video-conference.   If you know of others who would benefit from this presentation, please pass on this invitation; I have not intended to exclude anyone who may want to attend.  If there are others at remote locations, please let me or Dina Snow know so that we can arrange for video-conferencing.  John, I asked Shirley for the names of your contracts folks and have included them; I still have no information as to whom else you want to include.  Therefore, please forward this to your team members as you see fit.Please RSVP to Dina Snow at X57099 or by e-mail to dina.snow@enron.com by Tuesday, May 8th.We will e-mail the conference room location when it is confirmed.Thanks,Rose",False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
