Id1;Act1A1;Act1A2;Act2A1;Act2A2;ReasA1;ReasA2;REA1;REA2;NumTA1;NumTA2;T1A1;T1A2;T1SA1;T1SA2;T1TA1;T1TA2;T1TyA1;T1TyA2;T1SubjA1;T1SubjA2;T2A1;T2A2;T2SA1;T2SA2;T2TA1;T2TA2;T2TyA1;T2TyA2;T2SubjA1;T2SubjA2;T3A1;T3A2;T3SA1;T3SA2;T3TA1;T3TA2;T3TyA1;T3TyA2;T3SubjA1;T3SubjA2
103944;greet;greet;{};{};personal;personal;accountable non-answer;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
33081;deliver;request;{};{};administrative procedure;internal collaboration;accountable non-answer;postponed reply;1;1;ask these questions to linda;{};1;;2;;informational;;information;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
103941;deliver;deliver;{};propose;personal;personal;accountable non-answer;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
103860;deliver;remind;{};{};administrative procedure;legal procedure;immediate reply;immediate reply;1;2;provide information.;confirm tax issue;1;2;3;2;informational;procedural;information;other;{};sign documents;;1;;2;;procedural;{};service;{};{};;;;;;;{};{}
321253;commit;deliver;{};{};employment arrangements;personal;postponed reply;ignore;1;0;discussion between employer about hiring christian in the reasearch group;{};3;;3;;procedural;;decision;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
9678;commit;request;{};{};internal collaboration;travel planning;postponed reply;immediate reply;1;1;provide contact info;are you the correct contact;1;2;3;4;informational;informational;information;information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
174927;request;request;{};deliver;external collaboration;internal collaboration;immediate reply;immediate reply;1;1;enquiry about the folks;discover information;2;1;2;3;informational;informational;information;information;{};{};;;;;;;{};{};;;;;;;;;;
174849;remind;request;{};{};internal collaboration;internal collaboration;postponed reply;immediate reply;1;1;hopefully you know what this is about;request contact;1;1;2;4;informational;informational;decision;information;{};{};;;;;;;{};{};;;;;;;;;;
304907;deliver;deliver;{};{};other;other;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
139973;remind;deliver;{};{};internal collaboration;administrative procedure;accountable non-answer;immediate reply;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
48901;remind;request;{};{};administrative procedure;administrative procedure;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
78089;request;request;{};{};administrative procedure;administrative procedure;accountable non-answer;accountable non-answer;1;1;place a meeting on the calendar.;put event on calender;2;4;3;4;procedural;procedural;meeting;event;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
174846;request;request;propose;{};internal collaboration;internal collaboration;postponed reply;immediate reply;1;1;read and share thoughts;asking a persons thoughts on an issue;1;1;3;3;informational;informational;information;information;{};{};;;;;;;{};{};;;;;;;;;;
174928;deliver;deliver;{};{};internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;1;0;answer calls from multiple people.;{};2;;2;;physical;;service;{};{};{};;;;;;;{};{};;;;;;;;;;
174845;deliver;deliver;{};greet;administrative procedure;internal collaboration;accountable non-answer;immediate reply;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
182386;request;request;{};remind;internal collaboration;legal procedure;postponed reply;postponed reply;1;1;follow up;follow up with the isda sent to a lawyer's office on november 5th.;2;1;3;3;informational;informational;meeting;instructions;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
1949;remind;refuse;request;{};administrative procedure;administrative procedure;immediate reply;postponed reply;1;1;meeting;is this the only time available?;3;4;4;4;informational;procedural;service;meeting;{};{};;;;;;;{};{};;;;;;;;;;
182536;request;request;{};{};{};administrative procedure;{};immediate reply;1;1;send the sender the comparision;ask to send a report;1;1;2;3;physical;procedural;product;information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
338343;deliver;deliver;{};{};other;personal;accountable non-answer;postponed reply;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
1942;request;request;{};{};administrative procedure;internal collaboration;postponed reply;immediate reply;1;1;where is the meeting;discover logistics;2;3;2;3;procedural;informational;meeting;information;{};{};;;;;;;{};{};;;;;;;;;;
173020;deliver;deliver;{};{};other;external collaboration;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
9286;request;request;propose;{};personal;administrative procedure;postponed reply;immediate reply;1;1;mark.e.taylor wants to know from j.coelho whether when he will be in  sao paolo on tuesday to thursday of this week.would he be there?.and if it is possible to have dinner when he visits londonwhich is weekly.;set up meeting;4;4;4;4;procedural;procedural;collaboration;meeting;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
1946;propose;deliver;{};{};administrative procedure;personal;accountable non-answer;postponed reply;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
259978;deliver;deliver;{};{};internal collaboration;administrative procedure;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
1944;deliver;deliver;{};{};administrative procedure;internal collaboration;accountable non-answer;accountable non-answer;0;1;{};receive meeting logistics;;3;;3;;informational;{};meeting;{};{};;;;;;;{};{};;;;;;;;;;
108390;greet;greet;{};{};personal;personal;ignore;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
108390;greet;greet;{};{};personal;personal;ignore;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
108390;greet;greet;{};{};personal;personal;ignore;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
173595;request;amend;{};{};administrative procedure;internal collaboration;postponed reply;immediate reply;1;1;let me know if issue;let me know whether julia should be on the list.;1;1;3;4;informational;procedural;information;instructions;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
260680;deliver;deliver;{};{};internal collaboration;administrative procedure;postponed reply;accountable non-answer;1;0;sender informs that deal was entered into system within past 30 minutes;{};1;;3;;procedural;;information;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
383853;propose;deliver;request;{};external collaboration;personal;immediate reply;accountable non-answer;1;0;make a decision and replay;{};2;;4;;procedural;;decision;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
50160;deliver;propose;{};request;legal procedure;administrative procedure;accountable non-answer;postponed reply;0;1;{};customer service and internal procedures;;3;;3;;procedural;{};collaboration;{};{};;;;;;;{};{};;;;;;;;;;
338431;propose;deliver;{};{};logistic arrangements;internal collaboration;accountable non-answer;accountable non-answer;2;1;changing way deliveries are handled;policy change;3;4;3;4;procedural;procedural;information;service;the way gas is bought will change;{};3;;3;;procedural;;information;{};;;;;;;;;;
383856;deliver;request;{};{};travel planning;external collaboration;accountable non-answer;immediate reply;0;1;{};sending an email;;1;;2;;physical;{};product;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
383859;propose;propose;{};{};internal collaboration;administrative procedure;postponed reply;immediate reply;1;2;creating new product;create a day corpus product;3;1;3;1;procedural;physical;decision;product;{};anything new on the 5 x 24?;;1;;1;;physical;{};product;{};{};;;;;;;{};{}
142067;remind;propose;{};{};internal collaboration;internal collaboration;immediate reply;postponed reply;0;1;{};what other changes?;;1;;1;;informational;{};information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
49948;deliver;amend;{};remind;legal procedure;personal;accountable non-answer;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
32833;deliver;request;{};commit;legal procedure;internal collaboration;postponed reply;immediate reply;1;1;help you with antitrust task;answer whether it is too late or not.;3;2;3;3;informational;informational;meeting;information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
141719;deliver;remind;{};{};internal collaboration;personal;immediate reply;accountable non-answer;1;0;internal meeting for this evening;{};1;;3;;informational;;collaboration;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
33566;request;deliver;{};{};internal collaboration;internal collaboration;immediate reply;postponed reply;1;0;six million dollar lawsuit against enron;{};1;;3;;procedural;;service;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
172838;deliver;deliver;{};request;external collaboration;internal collaboration;accountable non-answer;accountable non-answer;0;1;{};recommend someone for the brazilian working group;;1;;2;;informational;{};information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
260524;greet;deliver;{};{};personal;other;ignore;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
41650;request;request;{};{};internal collaboration;internal collaboration;postponed reply;postponed reply;1;1;review and answer;review;2;1;3;3;informational;informational;information;decision;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
109503;greet;greet;{};{};personal;personal;ignore;postponed reply;0;1;{};{};;2;;2;;informational;{};{};{};{};;2;;;;;{};{};{};{};;;;;;;{};{}
109503;greet;greet;{};{};personal;personal;ignore;postponed reply;0;1;{};{};;2;;2;;informational;{};{};{};{};;2;;;;;{};{};{};{};;;;;;;{};{}
109503;greet;greet;{};{};personal;personal;ignore;postponed reply;0;1;{};{};;2;;2;;informational;{};{};{};{};;2;;;;;{};{};{};{};;;;;;;{};{}
181163;propose;propose;{};{};logistic arrangements;internal collaboration;immediate reply;immediate reply;2;1;talk over previously discussed information.;respond to email;1;1;2;1;informational;informational;information;information;distinguish margin lines from trade agreements.;{};1;;2;;informational;;information;{};{};{};;;;;;;{};{}
305543;request;propose;{};commit;administrative procedure;logistic arrangements;immediate reply;immediate reply;1;2;meeting;discuss next steps implement the hr associate groups recommendations for the development of an h;2;2;2;3;physical;procedural;meeting;{};{};delegate next steps implement the hr associate groups recommendations for the development of an h;;2;;3;;procedural;{};{};{};{};;;;;;;{};{}
1490;propose;amend;{};{};administrative procedure;external collaboration;accountable non-answer;accountable non-answer;0;1;{};be at meeting;;4;;4;;physical;{};meeting;{};{};;;;;;;{};{};;;;;;;;;;
33148;request;request;{};{};internal collaboration;legal procedure;postponed reply;immediate reply;1;1;status report;status update on a legal matter;1;1;3;4;informational;informational;information;information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
